id_jogador,id_time,nome_jogador,posicao,nacionalidade,data_nascimento
287314,1769,Heittor da Silva,Atacante,Brazil,2007-09-18
181439,1769,Vítor Roque,Centroavante,Brazil,2005-02-28
33153,1769,Andreas Pereira,Meio-campista Ofensivo,Brazil,1996-01-01
2060,1769,Felipe Anderson,Ponta Esquerdo,Brazil,1993-04-15
3221,1770,Neto,Goleiro,Brazil,1989-07-19
13152,1770,Raul,Goleiro,Brazil,1997-07-28
179157,1770,Leo Linck,Goleiro,Brazil,2001-03-03
250332,1770,Cristhian Loor,Goleiro,Ecuador,2006-03-09
250759,1770,Rhyan Luca,Goleiro,Brazil,2006-12-02
1239,1770,Vitinho,Defensor,Brazil,1999-07-23
8457,1770,Marçal,Defensor,Brazil,1989-02-19
15904,1770,Alex Telles,Defensor,Brazil,1992-12-15
28433,1770,Nahuel Ferraresi,Defensor,Venezuela,1998-11-19
37418,1770,Kaio Pantaleão,Defensor,Brazil,1995-09-18
151999,1770,Caio Roque,Defensor,Brazil,2002-01-09
160792,1770,Mateo Ponte,Defensor,Uruguay,2003-05-24
171861,1770,Bastos,Defensor,Angola,1991-11-23
206227,1770,Jhoan Hernández,Defensor,Colombia,2006-02-20
211500,1770,Ythallo,Defensor,Brazil,2004-07-22
249506,1770,Anthony,Defensor,Brazil,2005-07-12
260984,1770,Wallace,Defensor,Brazil,2007-05-10
274158,1770,Victor Hugo,Defensor,Brazil,2007-06-04
274540,1770,Caio Valle,Defensor,Brazil,2007-10-11
276799,1770,Carlos Santos,Defensor,Brazil,2005-08-16
286981,1770,Gabriel Pereira,Defensor,Brazil,2006-04-16
287447,1770,Gabriel Abdias,Defensor,Brazil,2006-06-19
287787,1770,Marcos Vinagre,Defensor,Brazil,2007-02-15
291294,1770,Pedro de Paula,Defensor,Brazil,2008-10-01
291298,1770,João Lira,Defensor,Brazil,2008-02-24
291832,1770,Arthur Alves,Defensor,Brazil,2008-09-16
1580,1770,Edenilson,Meio-campista,Brazil,1989-12-18
2096,1770,Allan,Meio-campista,Brazil,1991-01-08
113671,1770,Santiago Rodríguez,Meio-campista,Uruguay,2000-01-08
149704,1770,Danilo dos Santos de Oliveira,Meio-campista,Brazil,2001-04-29
154595,1770,Cristian Medina,Meio-campista,Argentina,2002-06-01
165989,1770,Lucas Villalba,Meio-campista,Uruguay,2001-05-11
169234,1770,Matheus Martins,Meio-campista,Brazil,2003-07-16
203361,1770,Bernardo Valim,Meio-campista,Brazil,2006-01-30
203397,1770,Newton,Meio-campista,Brazil,2000-03-12
206393,1770,Jordan Barrera,Meio-campista,Colombia,2006-04-11
221555,1770,Kaua Branco,Meio-campista,Brazil,2006-05-04
250493,1770,Alvaro Montoro,Meio-campista,Argentina,2007-04-17
274146,1770,Lucyo,Meio-campista,Brazil,2006-03-15
274539,1770,Lucas Camilo,Meio-campista,Brazil,2006-05-25
274541,1770,Zappelini,Meio-campista,Brazil,2007-03-26
275395,1770,Kauan,Meio-campista,Brazil,2006-04-15
291292,1770,Samuel da Silva,Meio-campista,Brazil,2008-03-30
291300,1770,Davi Alves,Meio-campista,Brazil,2008-06-27
291306,1770,Felipe Januário,Meio-campista,Brazil,2007-05-03
77,1770,Joaquín Correa,Atacante,Argentina,1994-08-13
12653,1770,Júnior Santos,Atacante,Brazil,1994-10-11
172113,1770,Chris Ramos,Atacante,Spain,1997-01-18
182538,1770,Weliton Santos,Atacante,Brazil,2005-04-13
206708,1770,Nathan Ribeiro,Atacante,Brazil,2005-02-16
278626,1770,Arthur Izaque,Atacante,Brazil,2007-06-29
286833,1770,Kadir Barría,Atacante,Panama,2007-07-18
291288,1770,Rogerio Medeiros,Atacante,Brazil,2008-04-11
291305,1770,Matheusinho,Atacante,Brazil,2007-03-30
291892,1770,Miguel Caldas,Atacante,Brazil,2008-07-20
1723,1770,Arthur Cabral,Centroavante,Brazil,1998-04-25
296793,1770,Victor Gonçalves,Não Informado,Brazil,2009-08-22
296792,1770,Herick Garcia,Não Informado,Brazil,2009-03-02
1431,1771,Cássio,Goleiro,Brazil,1987-06-06
178822,1771,Matheus Cunha,Goleiro,Brazil,2001-05-24
203390,1771,Otávio,Goleiro,Brazil,2005-12-27
276287,1771,Marcelo,Goleiro,Brazil,2006-02-12
278776,1771,Vitor Lamounier,Goleiro,Brazil,2007-10-18
290770,1771,Felipe Teixeira,Goleiro,Brazil,2009-05-05
1266,1771,Fabrício Bruno,Defensor,Brazil,1996-02-12
1434,1771,Fágner,Defensor,Brazil,1989-06-11
9418,1771,William,Defensor,Brazil,1995-04-03
45865,1771,Lucas Villalba,Defensor,Argentina,1994-08-19
115095,1771,João Marcelo,Defensor,Brazil,2000-06-13
181633,1771,Kaiki Bruno,Defensor,Brazil,2003-03-08
207251,1771,Jonathan,Defensor,Brazil,2004-05-27
249190,1771,Ian,Defensor,Brazil,2009-01-09
276232,1771,José,Defensor,Brazil,2005-08-31
276255,1771,Kaua Prates,Defensor,Brazil,2008-08-12
278484,1771,Kauã Moraes,Defensor,Brazil,2006-06-29
278775,1771,Nicolas Pontes,Defensor,Brazil,2006-01-14
290771,1771,Kaiquy,Defensor,Brazil,2006-05-17
295598,1771,Bryan,Defensor,Brazil,2010-08-23
1246,1771,Lucas Romero,Meio-campista,Argentina,1994-04-18
1250,1771,Lucas Silva,Meio-campista,Brazil,1993-02-16
1815,1771,Gerson,Meio-campista,Brazil,1997-05-20
49264,1771,Wanderson,Meio-campista,Brazil,1994-10-07
118245,1771,Christian,Meio-campista,Brazil,2000-12-19
203387,1771,João Wellington,Meio-campista,Brazil,2004-01-02
